Order,Family,Genus,Scientific Name,Common Name,Vertical Station,Schooling Behaviour,Reference: VS,Reference: SB
Cypriniformes,Leuciscidae,Phoxinus,Phoxinus phoxinus,Eurasian Minnow,demersal,NA,FishBase,NA
Cypriniformes,Cyprinidae,Pimephales,Pimephales notatus,Bluntnose Minnow,demersal,schooling,FishBase,Illinois DNR
Cypriniformes,Cyprinidae,Pimephales,Pimephales promelas,Fathead Minnow,demersal,schooling,FishBase,animaldiversity.org
Cypriniformes,Cyprinidae,Pimephales,Pimephales vigilax,Bullhead Minnow,demersal,schooling,FishBase,Illinois DNR
Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,European Flounder,demersal,non-schooling,FishBase,Webster and Laland 2017
Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,Paddlefish,demersal,non-schooling,FishBase,encyclopedia.com
Perciformes,Centrarchidae,Pomoxis,Pomoxis annularis,White Crappie,demersal,schooling,FishBase,animaldiversity.org
Perciformes,Centrarchidae,Pomoxis,Pomoxis nigromaculatus,Black Crappie,benthopelagic,schooling,FishBase,US Fish and Wildlife Service
Salmoniformes,Salmonidae,Prosopium,Prosopium coulterii,Pygmy Whitefish,benthopelagic,schooling,FishBase,Poulin 1991
Salmoniformes,Salmonidae,Prosopium,Prosopium cylindraceum,Round Whitefish,benthopelagic,schooling,FishBase,Poulin 1991
Gobiiformes,Gobiidae,Proterorhinus,Proterorhinus semilunaris ,Western Tubenose Goby,benthopelagic,NA,FishBase,NA
Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva,Topmouth Gudgeon,benthopelagic,schooling,FishBase,Pavlov and Kasumyan 2000
Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius pungitius,Ninespine Stickleback,benthopelagic,schooling,FishBase,Delbeek and Williams 1987
Siluriformes,Ictaluridae,Pylodictis,Pylodictis olivaris,Flathead Catfish,demersal,non-schooling,FishBase,Warren et al 2020
Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys atratulus,Blacknose Dace,demersal,non-schooling,FishBase,Poulin 1991
Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys cataractae,Longnose Dace,demersal,schooling,FishBase,FishBase
Cypriniformes,Cyprinidae,Rutilus,Rutilus rutilus,Roach ,benthopelagic,schooling,FishBase,Haberlehner 1988
Salmoniformes,Salmonidae,Salmo,Salmo salar,Atlantic Salmon,benthopelagic,schooling,FishBase,Riley et al 2014
Salmoniformes,Salmonidae,Salmo,Salmo trutta,Brown Trout,pelagic,non-schooling,FishBase,Stubbing 2002
Salmoniformes,Salmonidae,Salvelinus,Salvelinus alpinus,Arctic Char,benthopelagic,non-schooling,FishBase,animaldiversity.org
Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis,Brook Trout,benthopelagic,non-schooling,FishBase,animaldiversity.org
Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush,Lake Trout,benthopelagic,non-schooling,FishBase,British Columbia EIRS
Perciformes,Percidae,Sander,Sander canadensis,Sauger,demersal,NA,FishBase,NA
Perciformes,Percidae,Sander,Sander lucioperca,Pikeperch,pelagic,non-schooling,FishBase,fishethobase.net
Perciformes,Percidae,Sander,Sander vitreus,Walleye,benthopelagic,non-schooling,FishBase,fishethobase.net
Cypriniformes,Cyprinidae,Scardinius,Scardinius erythrophthalmus,Rudd,benthopelagic,NA,FishBase,NA
Cypriniformes,Cyprinidae,Semotilus,Semotilus atromaculatus,Creek Chub,demersal,schooling,FishBase,animaldiversity.org
Cypriniformes,Cyprinidae,Semotilus,Semotilus corporalis,Fallfish,demersal,schooling,FishBase,Poulin 1991
Siluriformes,Siluridae,Silurus,Silurus glanis,Sheatfish,benthopelagic,non-schooling,FishBase,animaldiversity.org
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus abaster,Black-striped Pipefish ,demersal,NA,FishBase,NA
Salmoniformes,Salmonidae,Thymallus,Thymallus arcticus ,Arctic Grayling,benthopelagic,non-schooling,FishBase,Stewart et al 2007
Cypriniformes,Cyprinidae,Tinca,Tinca tinca,Tench,demersal,NA,FishBase,NA
Esociformes,Umbridae,Umbra,Umbra limi,Central Mudminnow,demersal,schooling,FishBase,animaldiversity.org
