"Ordre","Longueur_max","Profondeur_corps","Rapport_aspect","Etroitesse_pedoncule","Position_nageoire_pectorale","Taille_nageoire_pectorale","Forme_corps","Position_oeil_vertical","Taille_oeil","Vertical_station","Comportement_banc"
"Cypriniformes",8.8,19.8,1.36488,3.231639,0.2390146,0.1717006,"fusiform",0.575468239,26.4,"benthopelagic","schooling"
"Cypriniformes",16,14.6,1.48002,2.571321,0.2738448,0.1978963,"elongated",0.529082173,26.4,"demersal","schooling"
"Perciformes",69,26.7,1.43,2.828318,0.389738,0.1716591,"fusiform",0.652592702,15.1,"benthopelagic","non-schooling"
"Perciformes",97,28.55,1.216,2.367404,0.3266925,0.1729975,"fusiform",0.598507859,15.1,"benthopelagic","non-schooling"
"Perciformes",46,32.4,1.56278,2.892144,0.3816039,0.2062279,"fusiform",0.501751373,15.2,"demersal","schooling"
"Perciformes",200,24.7,1.88595,2.867192,0.3866361,0.1540308,"fusiform",0.645352095,13.5,"demersal","schooling"
"Cypriniformes",26,18.6,1.60514,2.386741,0.2548796,0.1688209,"fusiform",0.561716547,20.7,"demersal","schooling"
"Cypriniformes",33,20.9,1.3589,2.294693,0.2286035,0.1580986,"fusiform",0.643583027,33.3,"demersal","schooling"
"Cypriniformes",32,30.4,1.67679,2.965019,0.2610538,0.1653965,"fusiform",0.486819417,23.2,"demersal","schooling"
"Cypriniformes",5.8,19.1,2.34725,2.021739,0.2375213,0.1420889,"elongated",0.518308956,31.3,"benthopelagic","schooling"
"Cypriniformes",13,15.6,2.01034,2.726115,0.2951858,0.1496788,"elongated",0.568281312,25.2,"benthopelagic","schooling"
"Cypriniformes",6.5,18.2,1.68303,2.823676,0.276672,0.1710992,"elongated",0.502211103,32,"benthopelagic","schooling"
"Cypriniformes",13,17.1,1.55581,2.551493,0.2132353,0.2124952,"elongated",0.485308824,31.3,"benthopelagic","schooling"
"Cypriniformes",9,16.7,1.56255,2.881068,0.246432,0.1745307,"elongated",0.588241998,39.3,"benthopelagic","schooling"
