"MaxLength","BodyDepth","AspectRatio","CaudalPeduncle","PectoralFinVertical","PectoralFinSize","VerticalEyePos","EyeSize","BodyShape"
6,21.4,1.37731,1.848214286,0.48255814,0.141636142,0.48255814,27,"fusiform"
15,20.8,0.897476,1.571428571,0.452380952,0.167865707,0.580952381,22.4,"fusiform"
8,17.3,0.830468,2.076923077,0.258928571,0.161350844,0.303571429,27.8,"elongated"
7,24.5,0.89546,1.9375,0.333333333,0.116071429,0.476190476,28.5,"fusiform"
11,23.1,2.03993,4.080636,0.4897014,0.1586443,0.571305628,24,"fusiform"
7.6,25,1.89024,2.725948,0.5533612,0.1943617,0.517142122,30.1,"fusiform"
25,24.55,1.14754,3.580847,0.3396614,0.1715036,0.587632944,22.7,"fusiform"
47,27.4,2.31612,2.389416,0.2326271,0.1736406,0.534883163,30.6,"fusiform"
9.7,17.7,2.90818,2.129265,0.2520891,0.1613439,0.504476533,17.8,"fusiform"
15,19.2,1.72235,2.925,0.2297086,0.1724906,0.543879785,28.9,"fusiform"
61,16.4,1.399,2.555307,0.1977645,0.1995596,0.626671919,13.8,"elongated"
120,26.65,2.5226,2.873009,0.2977753,0.1977775,0.493936371,14.8,"fusiform"
178.7,24.5,1.97127,3.320971,0.2615729,0.2221876,0.488693603,11.6,"fusiform"
165,21.2,0.767,4.113898,0.3821,0.1415923,0.560972041,24,"elongated"
132,19.7,1.694,3.196118,0.3243337,0.1402956,0.610576951,12.7,"elongated"
112,28.6,1.303,2.720125,0.1105804,0.1756524,0.375575795,27.7,"fusiform"
123,27.2,1.647,2.448182,0.1567407,0.2339571,0.574395286,11.5,"fusiform"
123,29,1.302,2.900036,0.161982,0.1704844,0.457732368,17.3,"fusiform"
5,16.6,1.203333333,2.111111111,0.419354839,0.155,0.741935484,32,"elongated"
13,10.3,1.16923,2.461538462,0.669642857,0.16374269,0.401785714,28.7,"elongated"
150,10.7,0.745354,2.375457,0.2210321,0.08309333,0.335192513,7.9,"elongated"
200,7.55,0.52292,2.9657,0.3022115,0.05489566,0.657994382,7.5,"elongated"
88,13.17,0.90620985,2.500615,0.3052844,0.1028702,0.574628334,9.07,"elongated"
30.5,37.4,1.867,2.372349,0.3238615,0.2183647,0.541623076,18.5,"short/deep"
31,34.6,1.588,2.507163,0.3024408,0.2117808,0.572431215,19.6,"short/deep"
40,44.1,0.721,2.415496,0.3186483,0.2503779,0.523731719,19.2,"short/deep"
15,35.4,2.703,2.704384,0.3491845,0.2478975,0.519635589,25.2,"short/deep"
41,40.55,1.39,2.975986,0.3382264,0.3008389,0.53012832,20.2,"short/deep"
24,35.7,0.86,2.643664,0.3607383,0.2551038,0.551248096,21,"short/deep"
43.2,32.5,0.7,2.126117,0.3081412,0.3001122,0.467191628,17.9,"short/deep"
14.8,40,1.843899,2.194175,0.3611111,0.2280928,0.588889,26.5,"short/deep"
31,34.7,0.63,2.828672,0.3209848,0.234363,0.656447212,19.2,"short/deep"
104.89,28.05,1.74419,2.150565,0.240231,0.1856005,0.520366586,19.25,"fusiform"
40,22.8,2.01156,2.80899,0.2260996,0.1631731,0.476097198,20.4,"fusiform"
152,12.6,0.725928,1.254545455,0.569078947,0.132502308,0.457236842,12.4,"elongated"
18,22.95,2.09178,2.963767,0.203753,0.1967081,0.53351614,27.6,"fusiform"
8.8,19.8,1.36488,3.231639,0.2390146,0.1717006,0.575468239,26.4,"fusiform"
23,18.3,1.16955,2.85397,0.2540636,0.1619465,0.572636548,29.4,"fusiform"
16,14.6,1.48002,2.571321,0.2738448,0.1978963,0.529082173,26.4,"elongated"
38.1,20.2,0.952177,2.478576,0.4686926,0.1579861,0.528062997,15.9,"fusiform"
69,26.7,1.43,2.828318,0.389738,0.1716591,0.652592702,15.1,"fusiform"
97,28.55,1.216,2.367404,0.3266925,0.1729975,0.598507859,15.1,"fusiform"
50,21.6,2.069,3.780001,0.155477,0.2040576,0.501766784,21.2,"elongated"
58,27.7,1.78178,2.666797,0.3604383,0.2113372,0.472522853,19.7,"fusiform"
45,30.5,1.73567,2.12724,0.3324408,0.1678005,0.504293644,26.4,"fusiform"
46,32.4,1.56278,2.892144,0.3816039,0.2062279,0.501751373,15.2,"fusiform"
200,24.7,1.88595,2.867192,0.3866361,0.1540308,0.645352095,13.5,"fusiform"
74,22,1.524,2.317764,0.1205324,0.1714836,0.51491424,24.5,"fusiform"
77,21.8,1.13,2.69704,0.1657252,0.146699,0.515951514,25.2,"fusiform"
51,21.6,2.231,2.848484848,0.193877551,0.144549763,0.556122449,18.9,"fusiform"
78,21.2,1.171,2.633902,0.1397385,0.1760404,0.492648775,28.3,"fusiform"
72,28.3,1.455,2.07684,0.1209134,0.2184596,0.445931015,23,"fusiform"
75,21.7,1.64,1.941254,0.1766748,0.16325,0.427608303,19.1,"fusiform"
80,23.2,1.538,2.933658,0.09178024,0.165005,0.542669158,17.5,"fusiform"
23,15.1,0.846814,4.167031,0.5219703,0.2609128,0.641542751,31.4,"elongated"
20,15.3,0.394427,2.132923,0.5517173,0.1852132,0.663162553,19.1,"elongated"
35,21.7,0.89264,1.908822,0.7164146,0.248506,0.730706368,18.4,"fusiform"
26,18.6,1.60514,2.386741,0.2548796,0.1688209,0.561716547,20.7,"fusiform"
33,20.9,1.3589,2.294693,0.2286035,0.1580986,0.643583027,33.3,"fusiform"
32,30.4,1.67679,2.965019,0.2610538,0.1653965,0.486819417,23.2,"fusiform"
10,15.8,2.4845,2.532258065,0.338235294,0.188059701,0.477941176,30.1,"elongated"
5.8,19.1,2.34725,2.021739,0.2375213,0.1420889,0.518308956,31.3,"elongated"
9.5,17.27,2.347524,2.834572,0.2087359,0.1904256,0.611346882,38.46,"elongated"
13,15.6,2.01034,2.726115,0.2951858,0.1496788,0.568281312,25.2,"elongated"
6.5,18.2,1.68303,2.823676,0.276672,0.1710992,0.502211103,32,"elongated"
13,17.1,1.55581,2.551493,0.2132353,0.2124952,0.485308824,31.3,"elongated"
9,16.7,1.56255,2.881068,0.246432,0.1745307,0.588241998,39.3,"elongated"
9.8,16.2,1.61035,2.721643,0.3134864,0.1859838,0.597173697,26.8,"elongated"
6.5,15.8,1.50387,3.067147,0.2820501,0.1737991,0.538550157,32.7,"elongated"
8,18.1,0.967613,2.205719,0.3309859,0.1442777,0.592741784,26.4,"elongated"
7.1,16.8,1.27467,2.842961,0.1915638,0.199706,0.462795213,40.9,"elongated"
9.8,14.4,1.60734,2.85372,0.3179935,0.1694709,0.531356294,28.7,"elongated"
15,14.6,1.9773,3.015402,0.2781888,0.1783625,0.577618018,29,"elongated"
14,14.6,1.43777,3.204918,0.2412222,0.1535006,0.585904968,28.9,"elongated"
7.2,15.8,2.188375,3.41164,0.3181764,0.1581644,0.551155378,28.7,"elongated"
11,15.23,2.135873,2.834847,0.2564365,0.1789251,0.54699033,24.09,"elongated"
8.2,17.2,1.19528,2.623525,0.2637459,0.162641,0.530547179,28.4,"fusiform"
8.6,18.1,1.70363,2.520552,0.2827846,0.1864564,0.504110622,35.2,"fusiform"
7.6,18.5,2.15187,2.963439,0.3100584,0.1680986,0.56716108,30.9,"elongated"
31,12.07,0.624808,1.79763,0.4123202,0.1671639,0.586166815,19.2,"elongated"
13,21.1,0.691,1.468282,0.4065548,0.1694484,0.565012387,13.9,"elongated"
13,19.7,0.674,1.783658,0.2368552,0.1878966,0.56022652,20.7,"elongated"
13,20.6,0.621,1.906342,0.2693492,0.1639458,0.614640142,15.7,"elongated"
99,19.75,2.133,2.274087,0.2953722,0.1301689,0.657989198,17.05,"fusiform"
76,22.8,2.487,3.834029,0.2279174,0.142362,0.490702692,12.3,"fusiform"
100,26.3,2.649,3.118909,0.2402426,0.1533747,0.575092434,9.6,"fusiform"
108,24.1,2.161,2.717115,0.2573605,0.1537003,0.569324567,10.1,"fusiform"
122,22.4,1.673,2.650049,0.2435354,0.1559702,0.603331072,18,"fusiform"
84,25.9,2.507,3.864039,0.2266851,0.1639218,0.605853137,10.3,"fusiform"
150,21.5,1.637,3.091759,0.2177707,0.1493911,0.520788792,10.2,"fusiform"
6.6,19.7,3.98399,3.570189,0.2459086,0.1499609,0.494115073,27.7,"elongated"
45,16.6,1.71236,2.735099338,0.213213213,0.151631478,0.612612613,16.3,"elongated"
35.6,12.9,2.34105,2.911764706,0.196969697,0.151653364,0.515151515,24,"elongated"
50,23.4,1.23413,1.860759494,0.353276353,0.163565891,0.492877493,19.5,"fusiform"
67.64,25.85,1.39721,2.201612903,0.318936877,0.148292683,0.465116279,20.7,"fusiform"
25,26.1,1.49711,2.5,0.43452381,0.214285714,0.511904762,16.1,"fusiform"
18,14.1,1.053,2.804878049,0.467105263,0.139556377,0.598684211,23.9,"elongated"
7.2,13.19,0.8464,1.586206897,0.456140351,0.164864865,0.438596491,26.9,"elongated"
11,17.2,0.841,1.68115942,0.327160494,0.211111111,0.388888889,23.7,"elongated"
7.8,15,1.51,1.426966292,0.537414966,0.260047281,0.537414966,29.5,"elongated"
20,17.4,1.34963,3.41636,0.2272254,0.203749,0.498044927,29.6,"fusiform"
12,17.2,1.56884,2.451021,0.2267094,0.1740219,0.558431964,19.8,"elongated"
14,19.35,1.0681,2.332147,0.2620416,0.1519016,0.453321275,21.7,"fusiform"
11,17.6,1.11248,2.75005,0.2167857,0.1267742,0.529953917,24.2,"fusiform"
10.1,18.3,1.51105,2.395225,0.1945942,0.1633254,0.499082302,29.2,"fusiform"
9.2,18.5,1.44955,2.600928,0.2827047,0.1837212,0.607769556,29.6,"fusiform"
60,37.9,0.611639,2.357199,0.464029,0.1371475,0.610478062,17.7,"flat"
221,18.7,2.41399,4.379742,0.2214382,0.1092816,0.56573728,1.7,"elongated"
53,36.4,1.61964,2.588014,0.2948354,0.2183369,0.459940079,19,"short/deep"
49,36.3,1.56692,2.499158,0.3352829,0.2073281,0.518641217,18.5,"short/deep"
28,15.1,1.53064,3.124844,0.3509297,0.1282472,0.656192237,28.7,"elongated"
59,17.1,2.58,3.413092,0.2914218,0.1170831,0.474733497,21.3,"fusiform"
9,13.85,1.088228571,2.042635,0.5718834,0.2227635,0.724972731,18.8,"fusiform"
12.5,22.1,1.74928,2.4125,0.245033113,0.141196013,0.430463576,28.5,"fusiform"
9,19.77,1.33653,6.947579,0.4747683,0.1555766,0.507155518,23.37,"elongated"
155,19.4,1.185,2.055963,0.3181372,0.1553859,0.611500816,10.4,"elongated"
12.4,17.6,1.38043,2.019528,0.3654813,0.1718867,0.571343077,23.8,"fusiform"
22.5,17,1.28457,2.297396,0.3536829,0.2027984,0.638211382,20.7,"elongated"
50.2,25,1.47269,3.213865,0.2502727,0.1618402,0.455062235,23.85,"fusiform"
150,19.73,2.051,3.076443,0.2446201,0.1242126,0.467510023,12.3,"fusiform"
